month,post_nov_2022,eth_mean_fee_usd,eth_mean_value_usdc,eth_tx_count,trx_mean_fee_trx,trx_mean_value_usdt,trx_tx_count,legacy_fee_pct_baseline,legacy_implied_fee_usd,cost_savings_usd_eth
2020-01,0,0.08130359852428286,19155.262157203,2000,0.0439275,10291.87833215,20,0.062,1187.626253746586,1187.5449501480616
2020-02,0,0.1036769595183331,15540.955158880999,2000,0.105382,14817.41893425,20,0.062,963.539219850622,963.4355428911036
2020-03,0,0.1976079780718179,29601.378386291002,2000,0.0664385,14010.4553112,20,0.062,1835.2854599500422,1835.0878519719704
2020-04,0,0.11987384900280164,8075.491614016,2000,0.05658150000000001,2324.6810359,20,0.062,500.68048006899204,500.5606062199892
2020-05,0,0.27967130619394753,10381.542287823999,2000,0.0756155,24965.55831995,20,0.062,643.6556218450879,643.375950538894
2020-06,0,0.8484451296334016,6738.069867055,2000,0.070825,24918.51697535,20,0.062,417.76033175741,416.9118866277766
2020-07,0,1.546775807542779,17742.322015932,2000,0.14026149999999998,4713.16601325,20,0.062,1100.023964987784,1098.477189180241
2020-08,0,2.68157618196658,12877.891637375998,2000,0.137388,2290.2758455499998,20,0.062,798.4292815173119,795.7477053353454
2020-09,0,6.0023010508077705,14131.031529397253,1893,0.2575525,6774.7001485,20,0.062,876.1239548226297,870.1216537718219
2020-10,0,2.5111561279591212,96969.81933799491,1964,0.6124065,672.92120685,20,0.062,6012.128798955684,6009.617642827725
2020-11,0,0.7870550116204184,9021.520930676,2000,0.2319785,4522.33443415,20,0.062,559.3342977019121,558.5472426902917
2020-12,0,1.9078491654410723,5033.905898765648,1997,1.440518,648.57826625,20,0.062,312.1021657234702,310.19431655802913
2021-01,0,3.867130401220147,25637.365042828005,1971,0.50135,16255.3328555,20,0.062,1589.5166326553363,1585.6495022541162
2021-02,0,7.423213585303042,44642.30009464915,1770,2.8028380000000004,576.7755548499999,20,0.062,2767.8226058682476,2760.3993922829445
2021-03,0,6.47361606017966,86911.96825776363,1815,2.761178,11964.6388829,20,0.062,5388.542031981345,5382.068415921165
2021-04,0,11.55771269252909,185336.15949178548,1748,2.89366,4880.2259959,20,0.062,11490.8418884907,11479.284175798171
2021-05,0,6.947401756124537,92805.44417772816,1946,2.570771,8133.78000715,20,0.062,5753.937539019146,5746.990137263022
2021-06,0,6.581135512833749,278825.78021051676,1910,4.083128,1142.42129635,20,0.062,17287.19837305204,17280.617237539205
2021-07,0,4.261223651396755,155542.67922498187,1985,2.549092,1748.0007607,20,0.062,9643.646111948876,9639.38488829748
2021-08,0,6.241813156369625,89992.94709584014,1908,2.8861470000000002,13987.429735100002,20,0.062,5579.562719942089,5573.320906785719
2021-09,0,11.026704913667812,220701.75714370204,1470,2.0824290000000003,2799.4116658499997,20,0.062,13683.508942909526,13672.482237995859
2021-10,0,9.669535975527639,59962.7023154727,1502,2.936845,7671.9028223000005,20,0.062,3717.6875435593074,3708.0180075837798
2021-11,0,10.432005099599994,79162.44928319758,1402,5.653176,306.33002500000003,20,0.062,4908.07185555825,4897.63985045865
2021-12,0,8.038994114400397,282887.90289722674,1279,6.581562,23012.534704600002,20,0.062,17539.049979628056,17531.010985513654
2022-01,0,8.047355043797074,443725.8079391949,1719,6.023668,947.9069994000001,20,0.062,27511.000092230082,27502.952737186286
2022-02,0,10.016786335638844,186615.00603429438,1583,4.358802,224.13452940000002,20,0.062,11570.13037412625,11560.113587790613
2022-03,0,8.101472599359404,247133.7478788671,1520,6.304196,886.5146144500001,20,0.062,15322.292368489761,15314.190895890402
2022-04,0,8.364039776766777,218648.42209083546,1884,5.240634,359.5208304,20,0.062,13556.202169631799,13547.838129855032
2022-05,0,9.57050004136606,80903.49402422203,1707,4.407634,4149.64787,20,0.062,5016.016629501766,5006.4461294604
2022-06,0,6.452192057890265,78856.02195944269,1954,4.566626,2483.0541053,20,0.062,4889.073361485447,4882.621169427557
2022-07,0,4.707535862959437,107882.21580578154,1950,5.586866,8047.8946332,20,0.062,6688.697379958456,6683.989844095497
2022-08,0,1.9768132144757073,21615.757113610416,1997,5.228222000000001,104.85566355,20,0.062,1340.1769410438458,1338.20012782937
2022-09,0,3.809005121176469,1065500.7406436955,1990,4.233592,2616.6753218,20,0.062,66061.04591990911,66057.23691478794
2022-10,0,2.239239064488887,18615.64068348174,1999,24.481420000000004,76.6392663,20,0.062,1154.1697223758679,1151.930483311379
2022-11,0,3.0579729202992576,438120.5134521379,1994,16.152036000000003,1428.21590805,20,0.062,27163.47183403255,27160.41386111225
2022-12,1,1.90082708008128,38619.35139653231,1950,9.711843,510.16049999999996,20,0.062,2394.399786585003,2392.4989595049215
2023-01,1,3.256464040798351,85039.21938447923,1999,4.212657,270.17908805,20,0.062,5272.431601837712,5269.175137796914
2023-02,1,4.636420383643608,255578.93626173658,1974,8.92173,489.7519548,20,0.062,15845.894048227668,15841.257627844025
2023-03,1,3.5636705587484827,55323.94928162986,1983,10.083075,113.11525185,20,0.062,3430.084855461051,3426.5211849023026
2023-04,1,4.79646408660968,18293.41536925868,1987,6.19266,212.07429845000001,20,0.062,1134.1917528940382,1129.3952888074286
2023-05,1,6.899319452142327,47048.38998954968,1852,4.78407,765.64936625,20,0.062,2917.00017935208,2910.100859899938
2023-06,1,5.437075653793572,82333.2308959929,1972,4.3099799999999995,394.50908005,20,0.062,5104.66031555156,5099.223239897767
2023-07,1,2.641858058582995,137382.0683742342,1977,8.96004,1017.9766018500001,20,0.062,8517.68823920252,8515.046381143937
2023-08,1,4.913875519662444,101475.750944739,1977,9.59939,2179.9998574,20,0.062,6291.496558573818,6286.5826830541555
2023-09,1,2.924933904976105,139281.29535140493,1988,9.29381,1689.0108008,20,0.062,8635.440311787106,8632.51537788213
2023-10,1,1.5816573781674288,26355.058467815576,1990,5.429603,339.2184166,20,0.062,1634.0136250045657,1632.4319676263983
2023-11,1,4.13892979701504,33570.76664999291,1975,9.547889999999999,5552.33932995,20,0.062,2081.3875322995605,2077.2486025025455
2023-12,1,6.623058529593007,34703.34451370082,1835,4.919029,37208.45507845,20,0.062,2151.6073598494504,2144.9843013198574
2024-01,1,3.5794724299822085,19610.689711365827,1785,6.170425,4410.9350598,20,0.062,1215.8627621046812,1212.283289674699
2024-02,1,5.779010229278136,121893.17152975115,1965,2.061135,9237.181068,20,0.062,7557.3766348445715,7551.597624615293
2024-03,1,8.832084611874684,161640.16405851016,1670,4.907675,1473.9767606,20,0.062,10021.69017162763,10012.858087015755
2024-04,1,5.629796865946201,168071.02684747567,1934,5.503964999999999,5049.31100555,20,0.062,10420.403664543492,10414.773867677546
2024-05,1,2.4921026143097755,230391.2392960362,1989,2.73093,25663.788879,20,0.062,14284.256836354243,14281.764733739934
2024-06,1,3.1627899408825106,11053.720228517019,1851,4.162825,19473.33783325,20,0.062,685.3306541680552,682.1678642271727
2024-07,1,1.6046785690431717,68965.84931993333,1860,3.4591920000000003,218.51375339999998,20,0.062,4275.882657835867,4274.277979266823
2024-08,1,1.9759935817443446,65238.515119343916,1986,4.170411,1568.4788198,20,0.062,4044.787937399323,4042.8119438175786
2024-09,1,0.6139491125538201,37269.779257753,2000,2.7309799999999997,1311.0308157,20,0.062,2310.726313980686,2310.1123648681323
2024-10,1,3.1406954649469996,29120.084462548453,1878,4.829255000000001,1507.69087305,20,0.062,1805.445236678004,1802.304541213057
2024-11,1,2.559311563154567,164621.23996859128,1906,3.54827,6301.7725257,20,0.062,10206.51687805266,10203.957566489506
2024-12,1,4.966594368975649,20080.602571354855,1781,1.471716,2177.3170472499996,20,0.062,1244.997359424001,1240.0307650550253
2025-01,1,2.7269942498379747,89677.41150155856,1887,4.2756625,9423.7676507,20,0.062,5559.999513096631,5557.272518846793
2025-02,1,1.9835571754648091,79269.78614703566,1991,5.270517,1851.8238208999999,20,0.062,4914.726741116211,4912.743183940746
2025-03,1,0.6844788864191108,53601.62060992531,1995,4.18947,2493.49374885,20,0.062,3323.300477815369,3322.61599892895
2025-04,1,0.6543378677624645,125774.48723042627,1994,2.1534385,3266.2131305,20,0.062,7798.0182082864285,7797.363870418666
2025-05,1,0.33614311038530836,244291.84912432847,1991,2.8732274999999996,1707.0408898,20,0.062,15146.094645708365,15145.758502597979
2025-06,1,0.7408988446393463,317737.3657123392,1993,10.423429500000001,3519.3868223500003,20,0.062,19699.71667416503,19698.97577532039
2025-07,1,0.8834018291058284,20025.556497724672,1994,0.175461,1334.2838403,20,0.062,1241.5845028589297,1240.7011010298238
2025-08,1,0.6387748517465908,293921.111933301,2000,4.188712499999999,1874.2960477000001,20,0.062,18223.108939864665,18222.470165012917
2025-09,1,0.7515199563060723,10381.639292595999,2000,0.034499999999999996,2038.86998565,20,0.062,643.6616361409519,642.9101161846459
2025-10,1,0.7449775585955216,14574.600099202213,1988,0.6946,4290.41652775,20,0.062,903.6252061505372,902.8802285919417
2025-11,1,0.3047040780745671,591849.6549813519,2000,1.4442499999999998,2524.94592,20,0.062,36694.67860884382,36694.373904765744
2025-12,1,0.5105969188967711,10858.527050738,2000,1.3375,1590.631375,20,0.062,673.2286771457559,672.7180802268591
